Name           Surname                       ND1       ND2       ND3            ND4            ND5            FINAL  
Name3151            Surname3151         5              1              4              5              2              1.96           
Name3348            Surname3348         2              2              7              4              2              1.96           
Name3554            Surname3554         2              6              1              7              1              1.96           
Name3728            Surname3728         2              4              1              4              6              1.96           
Name3804            Surname3804         4              1              5              3              4              1.96           
Name3847            Surname3847         4              6              1              3              3              1.96           
Name4209            Surname4209         1              7              5              3              1              1.96           
Name4389            Surname4389         2              5              2              4              4              1.96           
Name5050            Surname5050         4              1              2              7              3              1.96           
Name5073            Surname5073         3              6              2              5              1              1.96           
Name5661            Surname5661         1              2              1              3              10             1.96           
Name5761            Surname5761         8              1              1              5              2              1.96           
Name6764            Surname6764         3              6              4              3              1              1.96           
Name7184            Surname7184         3              4              1              5              4              1.96           
Name7963            Surname7963         8              3              4              1              1              1.96           
Name8023            Surname8023         7              1              1              4              4              1.96           
Name8342            Surname8342         2              3              2              6              4              1.96           
Name9632            Surname9632         8              2              2              2              3              1.96           
Name9788            Surname9788         4              2              3              1              7              1.96           
Name5076            Surname5076         2              4              1              2              1              2              
Name5478            Surname5478         2              2              3              2              1              2              
Name6909            Surname6909         3              1              4              1              1              2              
Name1022            Surname1022         4              1              3              3              7              2.04           
Name1503            Surname1503         7              3              3              3              2              2.04           
Name1856            Surname1856         1              2              4              6              5              2.04           
Name2813            Surname2813         1              6              5              4              2              2.04           
Name3283            Surname3283         2              3              7              5              1              2.04           
Name3309            Surname3309         5              5              3              2              3              2.04           
Name3404            Surname3404         5              2              2              5              4              2.04           
Name3506            Surname3506         1              9              1              2              5              2.04           
Name3789            Surname3789         1              10             2              4              1              2.04           
Name4040            Surname4040         4              2              8              3              1              2.04           
Name4134            Surname4134         2              7              3              3              3              2.04           
Name4272            Surname4272         2              2              5              2              7              2.04           
Name4330            Surname4330         5              1              7              3              2              2.04           
Name5405            Surname5405         5              4              5              3              1              2.04           
Name5451            Surname5451         8              6              1              1              2              2.04           
Name5682            Surname5682         3              6              2              5              2              2.04           
Name5790            Surname5790         4              4              1              5              4              2.04           
Name6082            Surname6082         4              5              1              5              3              2.04           
Name6651            Surname6651         6              2              2              1              7              2.04           
Name7115            Surname7115         7              1              1              7              2              2.04           
Name7181            Surname7181         3              9              4              1              1              2.04           
Name7625            Surname7625         2              9              1              5              1              2.04           
Name7657            Surname7657         2              5              7              1              3              2.04           
Name7938            Surname7938         3              9              1              1              4              2.04           
Name8358            Surname8358         10             1              2              2              3              2.04           
Name8616            Surname8616         3              1              3              2              9              2.04           
Name9015            Surname9015         4              2              1              10             1              2.04           
Name9919            Surname9919         6              3              1              5              3              2.04           
Name2352            Surname2352         3              2              4              8              2              2.12           
Name2443            Surname2443         1              2              5              1              10             2.12           
Name3101            Surname3101         1              3              8              3              4              2.12           
Name3681            Surname3681         4              1              8              1              5              2.12           
Name3893            Surname3893         6              6              2              2              3              2.12           
Name4832            Surname4832         4              8              3              3              1              2.12           
Name5051            Surname5051         5              4              2              6              2              2.12           
Name5077            Surname5077         3              1              4              5              6              2.12           
Name6026            Surname6026         1              1              7              1              9              2.12           
Name6220            Surname6220         3              2              9              3              2              2.12           
Name6443            Surname6443         2              1              2              8              6              2.12           
Name6554            Surname6554         2              1              4              6              6              2.12           
Name7040            Surname7040         3              6              4              5              1              2.12           
Name7564            Surname7564         7              1              1              9              1              2.12           
Name8807            Surname8807         6              1              1              3              8              2.12           
Name9334            Surname9334         1              4              2              9              3              2.12           
Name9517            Surname9517         3              10             2              3              1              2.12           
Name1260            Surname1260         1              3              1              6              1              2.16           
Name7086            Surname7086         2              1              2              1              6              2.16           
Name7817            Surname7817         4              1              1              3              3              2.16           
Name7993            Surname7993         2              5              1              2              2              2.16           
Name8313            Surname8313         6              1              1              2              2              2.16           
Name1128            Surname1128         8              2              6              2              2              2.2            
Name1156            Surname1156         7              1              2              6              4              2.2            
Name2135            Surname2135         2              1              9              6              2              2.2            
Name2401            Surname2401         4              4              9              1              2              2.2            
Name2500            Surname2500         3              6              2              1              8              2.2            
Name2585            Surname2585         2              3              8              2              5              2.2            
Name3293            Surname3293         4              1              8              3              4              2.2            
Name3906            Surname3906         5              3              3              7              2              2.2            
Name4294            Surname4294         5              2              3              1              9              2.2            
Name4719            Surname4719         4              1              10             2              3              2.2            
Name4866            Surname4866         3              2              8              2              5              2.2            
Name4876            Surname4876         3              1              6              6              4              2.2            
Name5009            Surname5009         1              2              10             2              5              2.2            
Name5318            Surname5318         2              7              2              4              5              2.2            
Name6032            Surname6032         4              7              4              2              3              2.2            
Name6187            Surname6187         1              2              8              4              5              2.2            
Name6705            Surname6705         3              1              5              8              3              2.2            
Name6766            Surname6766         1              6              9              2              2              2.2            
Name7411            Surname7411         1              7              4              3              5              2.2            
Name7693            Surname7693         2              4              7              4              3              2.2            
Name7831            Surname7831         3              4              5              5              3              2.2            
Name8111            Surname8111         2              1              5              9              3              2.2            
Name8186            Surname8186         1              4              4              10             1              2.2            
Name8838            Surname8838         1              4              6              3              6              2.2            
Name1259            Surname1259         5              2              1              2              3              2.24           
Name2356            Surname2356         2              2              1              7              1              2.24           
Name3163            Surname3163         1              3              1              1              7              2.24           
Name7016            Surname7016         2              4              2              3              2              2.24           
Name7206            Surname7206         5              4              2              1              1              2.24           
Name8475            Surname8475         2              4              4              1              2              2.24           
Name1139            Surname1139         2              1              6              5              7              2.28           
Name1617            Surname1617         1              2              4              6              8              2.28           
Name1646            Surname1646         7              9              2              2              1              2.28           
Name1740            Surname1740         1              6              5              3              6              2.28           
Name1869            Surname1869         7              10             1              2              1              2.28           
Name1902            Surname1902         6              3              4              5              3              2.28           
Name1933            Surname1933         2              7              1              6              5              2.28           
Name2948            Surname2948         4              2              9              1              5              2.28           
Name3023            Surname3023         1              1              10             3              6              2.28           
Name3425            Surname3425         4              9              1              6              1              2.28           
Name4334            Surname4334         1              6              4              3              7              2.28           
Name4484            Surname4484         3              1              2              10             5              2.28           
Name5211            Surname5211         8              3              2              1              7              2.28           
Name5453            Surname5453         4              10             1              1              5              2.28           
Name5501            Surname5501         6              7              2              3              3              2.28           
Name5819            Surname5819         7              7              1              2              4              2.28           
Name6097            Surname6097         2              6              6              6              1              2.28           
Name7382            Surname7382         2              3              7              4              5              2.28           
Name7400            Surname7400         5              8              2              5              1              2.28           
Name7584            Surname7584         3              9              7              1              1              2.28           
Name7599            Surname7599         4              6              7              1              3              2.28           
Name8172            Surname8172         3              1              6              9              2              2.28           
Name9521            Surname9521         4              4              7              3              3              2.28           
Name9689            Surname9689         4              5              3              3              6              2.28           
Name9849            Surname9849         1              6              2              9              3              2.28           
Name9937            Surname9937         8              1              1              7              4              2.28           
Name1344            Surname1344         3              5              4              1              1              2.32           
Name2367            Surname2367         1              4              3              4              2              2.32           
Name3264            Surname3264         1              1              3              5              4              2.32           
Name3943            Surname3943         3              1              1              8              1              2.32           
Name5545            Surname5545         2              9              1              1              1              2.32           
Name6500            Surname6500         2              2              6              1              3              2.32           
Name6994            Surname6994         1              5              6              1              1              2.32           
Name7712            Surname7712         1              5              1              5              2              2.32           
Name8429            Surname8429         1              3              6              3              1              2.32           
Name9696            Surname9696         1              3              6              2              2              2.32           
Name9825            Surname9825         1              1              1              10             1              2.32           
Name1225            Surname1225         8              4              1              3              6              2.36           
Name1371            Surname1371         8              9              1              2              2              2.36           
Name1628            Surname1628         3              5              3              5              6              2.36           
Name1775            Surname1775         1              3              1              7              10             2.36           
Name1897            Surname1897         3              5              5              7              2              2.36           
Name1934            Surname1934         1              1              9              8              3              2.36           
Name2118            Surname2118         3              5              3              7              4              2.36           
Name2315            Surname2315         5              1              2              10             4              2.36           
Name2626            Surname2626         8              3              7              3              1              2.36           
Name2654            Surname2654         5              2              7              1              7              2.36           
Name3005            Surname3005         4              1              7              5              5              2.36           
Name3139            Surname3139         5              8              2              5              2              2.36           
Name3305            Surname3305         4              6              4              1              7              2.36           
Name3424            Surname3424         1              10             1              5              5              2.36           
Name3515            Surname3515         4              2              1              7              8              2.36           
Name3558            Surname3558         6              1              7              6              2              2.36           
Name3807            Surname3807         1              4              4              6              7              2.36           
Name4262            Surname4262         3              7              4              3              5              2.36           
Name4477            Surname4477         6              5              5              5              1              2.36           
Name4593            Surname4593         7              2              8              4              1              2.36           
Name4698            Surname4698         1              3              6              10             2              2.36           
Name4831            Surname4831         2              6              9              4              1              2.36           
Name5105            Surname5105         7              1              2              10             2              2.36           
Name5248            Surname5248         6              3              3              8              2              2.36           
Name5586            Surname5586         1              3              4              6              8              2.36           
Name5799            Surname5799         10             6              4              1              1              2.36           
Name5927            Surname5927         4              5              2              7              4              2.36           
Name6405            Surname6405         2              6              2              7              5              2.36           
Name6470            Surname6470         6              1              9              3              3              2.36           
Name6819            Surname6819         5              4              5              4              4              2.36           
Name6858            Surname6858         4              3              2              10             3              2.36           
Name7077            Surname7077         4              8              1              5              4              2.36           
Name7409            Surname7409         9              1              8              3              1              2.36           
Name7439            Surname7439         1              1              2              10             8              2.36           
Name7459            Surname7459         3              2              5              10             2              2.36           
Name7464            Surname7464         5              7              5              1              4              2.36           
Name7500            Surname7500         6              5              2              1              8              2.36           
Name7961            Surname7961         2              8              7              3              2              2.36           
Name8097            Surname8097         2              5              4              5              6              2.36           
Name8151            Surname8151         5              5              7              2              3              2.36           
Name8280            Surname8280         2              2              5              9              4              2.36           
Name8391            Surname8391         7              6              5              3              1              2.36           
Name8496            Surname8496         2              1              4              9              6              2.36           
Name8546            Surname8546         8              4              1              4              5              2.36           
Name8999            Surname8999         5              1              2              7              7              2.36           
Name9279            Surname9279         8              3              2              7              2              2.36           
Name9391            Surname9391         7              7              6              1              1              2.36           
Name9736            Surname9736         7              8              2              4              1              2.36           
Name9910            Surname9910         4              3              9              2              4              2.36           
Name9963            Surname9963         5              7              4              1              5              2.36           
Name1561            Surname1561         1              6              6              1              1              2.4            
Name1731            Surname1731         2              7              2              2              2              2.4            
Name2317            Surname2317         5              3              3              3              1              2.4            
Name3325            Surname3325         4              5              4              1              1              2.4            
Name4413            Surname4413         1              2              1              6              5              2.4            
Name9557            Surname9557         2              2              2              1              8              2.4            
Name1100            Surname1100         8              3              6              2              4              2.44           
Name1220            Surname1220         9              1              1              5              7              2.44           
Name1399            Surname1399         6              6              8              1              2              2.44           
Name1543            Surname1543         5              5              9              2              2              2.44           
Name1575            Surname1575         2              3              4              10             4              2.44           
Name1708            Surname1708         9              6              6              1              1              2.44           
Name1771            Surname1771         4              1              5              5              8              2.44           
Name2283            Surname2283         2              7              3              5              6              2.44           
Name2320            Surname2320         5              2              5              3              8              2.44           
Name2492            Surname2492         1              1              7              7              7              2.44           
Name3013            Surname3013         5              8              2              5              3              2.44           
Name4314            Surname4314         4              10             3              1              5              2.44           
Name4366            Surname4366         6              8              2              3              4              2.44           
Name4687            Surname4687         2              10             4              3              4              2.44           
Name4787            Surname4787         4              1              4              5              9              2.44           
Name4841            Surname4841         8              5              1              7              2              2.44           
Name4879            Surname4879         1              5              3              10             4              2.44           
Name5280            Surname5280         2              9              3              1              8              2.44           
Name5387            Surname5387         6              4              3              5              5              2.44           
Name5402            Surname5402         1              6              5              7              4              2.44           
Name5472            Surname5472         5              5              6              1              6              2.44           
Name5530            Surname5530         1              7              4              6              5              2.44           
Name6142            Surname6142         3              6              4              8              2              2.44           
Name6266            Surname6266         7              8              2              2              4              2.44           
Name6329            Surname6329         2              9              6              1              5              2.44           
Name6551            Surname6551         1              2              10             4              6              2.44           
Name6866            Surname6866         9              8              4              1              1              2.44           
Name7244            Surname7244         3              6              1              7              6              2.44           
Name7254            Surname7254         3              1              2              7              10             2.44           
Name7329            Surname7329         1              8              1              7              6              2.44           
Name7703            Surname7703         1              6              5              10             1              2.44           
Name8018            Surname8018         10             3              6              1              3              2.44           
Name8462            Surname8462         5              4              3              6              5              2.44           
Name9297            Surname9297         4              10             3              3              3              2.44           
Name9411            Surname9411         2              5              8              3              5              2.44           
Name9498            Surname9498         5              3              4              4              7              2.44           
Name9546            Surname9546         10             3              1              4              5              2.44           
Name9576            Surname9576         9              1              4              3              6              2.44           
Name9622            Surname9622         1              9              6              2              5              2.44           
Name9826            Surname9826         7              7              2              4              3              2.44           
Name1297            Surname1297         3              3              1              2              7              2.48           
Name1433            Surname1433         3              3              3              1              6              2.48           
Name2282            Surname2282         2              1              5              1              7              2.48           
Name3811            Surname3811         2              6              3              4              1              2.48           
Name4147            Surname4147         3              1              1              6              5              2.48           
Name4351            Surname4351         1              4              2              5              4              2.48           
Name4673            Surname4673         5              3              2              2              4              2.48           
Name5562            Surname5562         6              5              2              1              2              2.48           
Name6673            Surname6673         2              5              2              2              5              2.48           
Name8273            Surname8273         5              1              3              5              2              2.48           
Name9165            Surname9165         4              5              3              2              2              2.48           
Name9244            Surname9244         5              3              2              5              1              2.48           
Name9477            Surname9477         5              1              4              4              2              2.48           
Name9681            Surname9681         5              4              1              3              3              2.48           
Name1067            Surname1067         7              2              4              7              4              2.52           
Name1488            Surname1488         4              1              6              7              6              2.52           
Name1805            Surname1805         8              2              1              3              10             2.52           
Name1815            Surname1815         4              5              5              9              1              2.52           
Name1819            Surname1819         6              6              8              2              2              2.52           
Name1915            Surname1915         9              2              8              1              4              2.52           
Name1967            Surname1967         10             2              5              3              4              2.52           
Name2015            Surname2015         7              6              2              3              6              2.52           
Name2410            Surname2410         6              4              1              9              4              2.52           
Name2582            Surname2582         2              8              1              10             3              2.52           
Name2589            Surname2589         4              6              6              1              7              2.52           
Name2670            Surname2670         3              10             7              1              3              2.52           
Name2896            Surname2896         5              2              3              4              10             2.52           
Name3537            Surname3537         8              2              6              5              3              2.52           
Name3744            Surname3744         6              3              6              2              7              2.52           
Name3900            Surname3900         7              9              1              1              6              2.52           
Name3930            Surname3930         9              5              2              6              2              2.52           
Name4762            Surname4762         7              1              2              10             4              2.52           
Name4798            Surname4798         1              7              9              6              1              2.52           
Name4865            Surname4865         7              5              5              4              3              2.52           
Name4927            Surname4927         3              8              3              4              6              2.52           
Name4941            Surname4941         7              5              3              1              8              2.52           
Name5135            Surname5135         3              1              10             4              6              2.52           
Name5369            Surname5369         8              1              2              8              5              2.52           
Name5461            Surname5461         5              7              3              5              4              2.52           
Name5547            Surname5547         1              5              8              7              3              2.52           
Name5659            Surname5659         7              2              5              7              3              2.52           
Name5786            Surname5786         4              5              8              2              5              2.52           
Name6061            Surname6061         5              7              5              1              6              2.52           
Name6293            Surname6293         10             1              5              3              5              2.52           
Name6493            Surname6493         7              10             3              1              3              2.52           
Name6544            Surname6544         9              3              8              1              3              2.52           
Name6892            Surname6892         8              1              5              3              7              2.52           
Name6894            Surname6894         2              5              5              9              3              2.52           
Name7174            Surname7174         9              2              6              6              1              2.52           
Name7186            Surname7186         1              5              5              8              5              2.52           
Name7364            Surname7364         4              6              3              6              5              2.52           
Name7451            Surname7451         6              3              2              8              5              2.52           
Name7585            Surname7585         2              5              2              10             5              2.52           
Name7951            Surname7951         5              4              3              6              6              2.52           
Name8000            Surname8000         4              7              4              1              8              2.52           
Name8194            Surname8194         3              6              7              6              2              2.52           
Name8383            Surname8383         5              2              1              9              7              2.52           
Name8477            Surname8477         7              3              4              9              1              2.52           
Name8995            Surname8995         7              3              4              8              2              2.52           
Name9006            Surname9006         4              3              2              5              10             2.52           
Name9127            Surname9127         1              6              1              6              10             2.52           
Name9608            Surname9608         6              3              6              3              6              2.52           
Name9900            Surname9900         8              3              1              2              10             2.52           
Name9906            Surname9906         2              4              7              5              6              2.52           
